Time,Bbr_1_Bps,Bbr_2_Bps,Bbr_1_PktLoss,Bbr_2_PktLoss,Bbr_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
39.7,600000,645000,108,131,77970,184839,0.998695
39.8,645000,615000,109,132,75184,184839,0.999433
39.9,630000,615000,111,134,76430,185083,0.999855
40,645000,600000,109,136,76430,185083,0.998695
40.1,600000,645000,109,139,76430,185083,0.998695
40.2,615000,630000,110,142,76430,185083,0.999855
40.3,630000,623720,111,135,76430,185557,0.999975
40.4,630000,615000,112,144,79326,188453,0.999855
40.5,630000,620920,106,152,76430,185557,0.999947
40.6,570000,679880,112,126,76430,185557,0.992331
40.7,705000,542400,107,126,76430,185557,0.983292
40.8,675000,570000,107,130,76430,185557,0.992937
40.9,645000,600000,110,132,76894,185557,0.998695
41,645000,615000,108,134,77625,185557,0.999433
41.1,615000,630000,111,135,77625,185557,0.999855
41.2,645000,603080,111,137,77625,185557,0.998873
41.3,615000,630000,114,142,80521,185557,0.999855
41.4,645000,602040,107,147,77625,185557,0.998815
41.5,585000,667920,111,146,77625,188453,0.995639
41.6,630000,610040,112,152,77625,188453,0.999741
41.7,615000,633520,112,144,77625,185557,0.99978
41.8,630000,622000,110,123,77625,185557,0.999959
41.9,690000,555000,88,128,5792,185109,0.988379
42,330000,915000,70,76,5792,5792,0.819144
42.1,75000,0,73,79,5792,5792,0.5
42.2,105000,45000,81,76,76333,5792,0.862069
42.3,765000,60000,86,76,92055,5792,0.577952
42.4,1.02e+06,0,91,105,110905,188005,0.5
42.5,855000,390000,113,132,124003,188005,0.87758
42.6,705000,540000,140,131,124003,185109,0.982739
42.7,750000,495000,140,135,124003,196693,0.959738
42.8,825000,435000,141,148,124003,215573,0.912571
42.9,720000,525000,142,155,124003,215573,0.976056
43,735000,504720,140,165,124003,215573,0.966647
43.1,735000,511560,134,159,123080,128000,0.968871
43.2,720000,532200,89,113,124003,126552,0.978002
43.3,650960,354920,102,87,83696,161560,0.920287
43.4,1.17e+06,80640,107,127,129403,170776,0.568597
43.5,720000,525000,138,114,129403,91010,0.976056
43.6,900000,345000,144,149,129403,143138,0.834221
43.7,855000,405000,153,149,129403,163410,0.886878
43.8,675000,570000,160,162,129403,218434,0.992937
43.9,835360,407400,122,171,115080,120584,0.893986
44,524200,731880,99,108,129971,117304,0.97339
44.1,1.0182e+06,227200,109,101,129971,76530,0.712556
44.2,1.02e+06,225000,133,127,134164,76530,0.710353
44.3,825000,420000,150,136,131268,108386,0.904306
44.4,930000,315000,167,164,131268,151826,0.803851
44.5,754120,495000,181,163,131268,183682,0.958743
44.6,741640,517720,169,172,123056,216685,0.969354
44.7,820240,423720,108,157,131268,119120,0.907766
44.8,569320,679920,123,103,80480,173480,0.992223
44.9,1.245e+06,0,122,153,131348,76530,0.5
45,690000,555000,163,135,134244,93906,0.988379
45.1,1.035e+06,225000,167,161,131348,135318,0.707581
45.2,698200,540000,180,148,131348,135318,0.983938
45.3,900000,345000,186,156,131348,135318,0.834221
45.4,809000,450000,188,156,131348,135318,0.924805
45.5,838160,405000,192,160,131348,141386,0.891737
45.6,806720,435000,166,163,126040,141386,0.917755
45.7,777440,480000,104,155,131348,115840,0.947012
45.8,504320,739520,125,105,82848,133216,0.965479
45.9,1.245e+06,0,136,130,134067,76530,0.5
46,930000,330000,151,140,136511,85218,0.815157
46.1,885000,360000,178,148,136511,119970,0.849026
46.2,915000,330000,198,164,136351,144282,0.819144
46.3,825280,420000,201,172,139247,141386,0.904225
46.4,821680,435000,163,167,127312,141386,0.91351
46.5,635920,600000,112,148,136511,127424,0.999156
46.6,785640,469040,138,122,109760,141386,0.940138
46.7,1.14e+06,105000,148,147,136511,76530,0.59133
46.8,930000,315000,175,158,136511,96802,0.803851
46.9,915000,345000,196,167,136511,125762,0.830118
47,865560,375000,207,174,136511,140626,0.864776
47.1,845160,405000,205,179,136511,140626,0.889709
47.2,794840,450000,170,178,136511,112944,0.928731
47.3,676360,570000,116,142,136511,134664,0.99277
47.4,904560,262240,139,134,123480,76530,0.767432
47.5,1.05e+06,210000,152,160,131268,76530,0.692308
47.6,840000,405000,187,161,134164,108386,0.891203
47.7,960000,285000,200,165,131268,132190,0.772829
47.8,879840,375000,205,169,131268,141218,0.860691
47.9,901440,345000,210,178,131268,141218,0.833824
48,830000,420000,213,182,134164,141218,0.902866
48.1,809720,435000,190,186,125440,141218,0.916902
48.2,760280,480000,129,169,131268,117288,0.951414
48.3,634000,620160,150,129,92384,140456,0.999878
48.4,1.2e+06,45000,152,155,131268,76530,0.537447
48.5,930000,315000,173,167,130038,91010,0.803851
48.6,870000,390000,196,173,130038,119970,0.873267
48.7,900000,345000,194,189,130038,144114,0.834221
48.8,810000,435000,196,193,128926,141218,0.916822
48.9,735000,510000,205,184,128926,141218,0.968372
49,789480,465000,198,185,128926,141218,0.937292
49.1,809040,435000,196,189,129422,117288,0.917095
49.2,795000,450000,197,165,129422,121632,0.928687
49.3,765000,495000,207,132,132318,141010,0.956098
49.4,1.227e+06,19040,181,146,129542,87018,0.515514
49.5,1.125e+06,120000,188,171,129542,87018,0.605467
49.6,900000,345000,194,178,129542,107290,0.834221
49.7,840000,405000,202,183,132438,141010,0.891203
49.8,840000,420000,205,188,129542,141010,0.9
49.9,788840,450000,196,195,129542,143906,0.930397
50,780000,465000,197,203,129542,141010,0.939836
50.1,720000,540000,189,191,117976,141010,0.98
50.2,750000,487480,186,183,108600,144568,0.956934
50.3,780000,480000,134,185,114464,146406,0.946352
50.4,423400,825000,160,163,77744,146406,0.906219
50.5,825000,420000,177,169,114984,145942,0.904306
50.6,855000,390000,192,176,117880,145942,0.87758
50.7,855000,390000,190,184,114984,145942,0.87758
50.8,780000,480000,191,186,114984,145942,0.946352
50.9,765000,480000,192,187,114984,145942,0.950207
51,765000,480000,193,190,117880,148838,0.950207
51.1,735000,510000,178,200,94780,148838,0.968372
51.2,630000,615000,179,190,94780,145942,0.999855
51.3,735000,520000,177,177,94780,157220,0.971488
