Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
34.1,660000,588320,68,80,91655,173105,0.996714
34.2,675000,571840,67,91,92139,173105,0.993201
34.3,660000,594280,69,70,92645,170209,0.997262
34.4,690000,558400,68,60,93129,170209,0.98901
34.5,765000,480000,67,68,93679,170649,0.950207
34.6,690000,555000,72,70,94229,170649,0.988379
34.7,705000,555000,69,72,94713,170649,0.986026
34.8,675000,570000,70,76,95219,170649,0.992937
34.9,675000,573000,70,78,95685,170649,0.993364
35,675000,573200,71,77,96168,170649,0.993392
35.1,675000,570920,72,80,96651,170649,0.99307
35.2,690000,565440,71,79,97113,170649,0.990252
35.3,675000,567240,72,85,97596,173545,0.992531
35.4,675000,577240,71,84,98058,170649,0.993942
35.5,675000,560800,73,66,98541,170649,0.991533
35.6,735000,524400,72,66,99045,170649,0.972797
35.7,735000,510000,73,71,99570,170649,0.968372
35.8,705000,540000,73,76,100044,170649,0.982739
35.9,690000,555000,75,79,100524,170649,0.988379
36,690000,560000,73,80,100964,170489,0.9893
36.1,675000,571440,75,80,101424,170489,0.993144
36.2,690000,560680,75,82,101884,170489,0.989422
36.3,690000,559440,75,82,102344,170489,0.989199
36.4,690000,555920,75,83,102804,173385,0.988552
36.5,690000,562960,76,88,103264,173385,0.989824
36.6,705000,546000,75,77,103724,170985,0.984103
36.7,690000,560640,75,63,104184,170985,0.989414
36.8,765000,480000,75,71,104684,170985,0.950207
36.9,720000,525000,77,76,105167,170985,0.976056
37,705000,540000,76,81,105604,170985,0.982739
37.1,690000,560240,77,83,106041,170985,0.989343
37.2,705000,545840,78,81,106497,161256,0.984067
37.3,705000,539520,77,82,106934,161256,0.982627
37.4,705000,547600,77,79,107371,161256,0.984455
37.5,690000,555400,79,81,107827,161256,0.988454
37.6,705000,546040,80,87,108283,164152,0.984112
37.7,705000,541800,80,88,108720,161256,0.983155
37.8,705000,546160,79,69,109157,161256,0.984138
37.9,750000,497880,77,65,109613,161256,0.960781
38,780000,465000,80,71,110126,161256,0.939836
38.1,720000,525000,80,73,110570,161256,0.976056
38.2,735000,525000,81,76,111020,161256,0.972973
38.3,720000,525000,81,81,111452,161256,0.976056
38.4,690000,560640,82,81,111866,160848,0.989414
38.5,735000,511120,81,84,112298,160848,0.968731
38.6,705000,544240,82,82,112730,160848,0.98371
38.7,705000,544440,82,85,113144,163744,0.983755
38.8,705000,530160,83,90,113576,163744,0.980356
38.9,720000,537000,83,81,114008,160848,0.979245
