Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
39.4,555000,706680,48,82,73569,133216,0.985753
39.5,615000,623400,48,83,73569,133216,0.999954
39.6,585000,665040,48,81,73569,133216,0.995917
39.7,600000,643520,48,83,73569,133216,0.998777
39.8,600000,653400,46,80,73569,133216,0.998188
39.9,585000,659920,47,84,72250,133216,0.996391
40,600000,650040,48,81,72250,133216,0.9984
40.1,600000,643520,49,85,75146,133216,0.998777
40.2,615000,638400,41,85,72250,133216,0.999652
40.3,540000,708080,46,79,72250,133216,0.982187
40.4,630000,622000,45,85,72250,133216,0.999959
40.5,570000,674920,47,82,72250,133216,0.992947
40.6,600000,650040,46,83,72250,133216,0.9984
40.7,585000,665040,44,81,72250,133216,0.995917
40.8,585000,665040,46,85,72250,133216,0.995917
40.9,600000,643520,47,83,72030,133216,0.998777
41,585000,654800,49,83,74926,133216,0.99684
41.1,615000,643520,41,83,72030,133216,0.999487
41.2,555000,686560,45,79,71611,133216,0.988896
41.3,600000,643520,46,85,71611,133216,0.998777
41.4,585000,665040,47,81,71611,133216,0.995917
41.5,600000,659920,12,83,5792,133216,0.997743
41.6,90000,1.078e+06,13,57,5792,133216,0.58291
41.7,120000,905480,9,62,5792,133216,0.630239
41.8,120000,880600,22,79,71600,133216,0.633786
41.9,435000,809160,33,72,71269,133216,0.917061
42,555000,691680,42,82,71269,133216,0.988123
42.1,570000,681440,39,80,71269,133216,0.992133
42.2,555000,691680,43,82,71269,133216,0.988123
42.3,585000,666440,45,81,71269,133216,0.995783
42.4,585000,658520,48,84,74745,133216,0.996517
42.5,615000,638400,41,84,71849,133216,0.999652
42.6,540000,703320,46,79,72396,133216,0.983038
42.7,615000,638400,47,83,72396,133216,0.999652
42.8,585000,659920,48,81,72396,133216,0.996391
42.9,600000,638400,50,83,75292,133216,0.999039
43,615000,643520,42,83,72396,133216,0.999487
43.1,555000,686560,46,83,72396,133216,0.988896
43.2,615000,631880,46,84,72396,133216,0.999817
43.3,570000,676680,47,81,75292,133216,0.992731
43.4,615000,638400,43,83,72396,133216,0.999652
43.5,555000,686560,46,77,72396,133216,0.988896
43.6,600000,659920,47,83,72396,133216,0.997743
43.7,600000,643520,47,81,72396,133216,0.998777
43.8,600000,653400,49,82,74885,133216,0.998188
43.9,615000,628520,41,83,71989,133216,0.999882
44,540000,708080,46,81,71989,133216,0.982187
44.1,615000,631880,46,84,71989,133216,0.999817
44.2,585000,665040,47,82,74885,133216,0.995917
44.3,600000,650040,43,83,71989,133216,0.9984
44.4,555000,691680,46,77,72154,133216,0.988123
44.5,615000,633280,46,83,72154,133216,0.999786
44.6,585000,665040,48,81,72154,133216,0.995917
44.7,600000,643520,49,83,75050,133216,0.998777
44.8,615000,638400,41,83,72154,133216,0.999652
44.9,540000,708080,46,79,72154,133216,0.982187
45,615000,622000,46,85,72154,133216,0.999968
