Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
11.8,274280.0,331280.0,336920.0,315840.0,120.0,103.0,63.0,60.0,75847.0,75385.0,67714.0,79509.0,0.993964
11.9,45000.0,525000.0,225000.0,451000.0,117.0,104.0,76.0,54.0,75847.0,75980.0,67714.0,79509.0,0.73001
12.0,0.0,515000.0,495000.0,240000.0,117.0,102.0,63.0,68.0,75847.0,77428.0,69162.0,80957.0,0.6879019999999999
12.1,0.0,511600.0,255000.0,480000.0,117.0,101.0,74.0,56.0,75847.0,78876.0,69162.0,80957.0,0.697292
12.2,0.0,390000.0,525000.0,330000.0,117.0,105.0,64.0,69.0,75847.0,78876.0,70610.0,82405.0,0.722117
12.3,0.0,540000.0,300000.0,405000.0,117.0,108.0,66.0,54.0,75847.0,80324.0,70610.0,82405.0,0.710206
12.4,0.0,540000.0,420000.0,300000.0,118.0,98.0,67.0,71.0,1448.0,80324.0,72058.0,83853.0,0.71129
12.5,15000.0,420000.0,345000.0,465000.0,118.0,111.0,68.0,58.0,1448.0,81772.0,72058.0,83853.0,0.757033
12.6,0.0,525000.0,360000.0,360000.0,118.0,107.0,69.0,65.0,1448.0,83220.0,73506.0,85301.0,0.724548
12.7,15000.0,495000.0,375000.0,360000.0,117.0,108.0,68.0,59.0,1448.0,83220.0,73506.0,85301.0,0.7517460000000001
12.8,0.0,570000.0,315000.0,375000.0,117.0,103.0,74.0,67.0,1448.0,84668.0,74954.0,86749.0,0.702789
12.9,0.0,435000.0,450000.0,360000.0,119.0,106.0,70.0,67.0,2896.0,84668.0,74954.0,86749.0,0.74331
13.0,30000.0,510000.0,300000.0,405000.0,121.0,109.0,75.0,64.0,5792.0,86116.0,76402.0,86749.0,0.752403
13.1,0.0,495000.0,420000.0,330000.0,121.0,109.0,71.0,69.0,5792.0,87564.0,76402.0,88197.0,0.730696
13.2,60000.0,480000.0,315000.0,390000.0,125.0,107.0,75.0,63.0,11584.0,87564.0,77850.0,88197.0,0.798447
13.3,120000.0,435000.0,390000.0,315000.0,125.0,113.0,73.0,71.0,17376.0,89012.0,77850.0,89645.0,0.872404
13.4,0.0,510000.0,345000.0,390000.0,133.0,109.0,75.0,65.0,23168.0,89012.0,79298.0,89645.0,0.729458
13.5,240000.0,375000.0,300000.0,330000.0,149.0,113.0,75.0,71.0,46336.0,90460.0,79298.0,89645.0,0.9757789999999998
13.6,15000.0,510000.0,390000.0,330000.0,148.0,111.0,74.0,69.0,46336.0,90460.0,78417.0,88271.0,0.74331
13.7,255000.0,390000.0,255000.0,360000.0,162.0,112.0,77.0,64.0,60484.0,89933.0,78417.0,88271.0,0.963934
13.8,120000.0,435000.0,390000.0,300000.0,162.0,106.0,77.0,44.0,52128.0,89933.0,78417.0,88271.0,0.869384
13.9,165000.0,559360.0,246280.0,273400.0,175.0,109.0,74.0,74.0,50680.0,89933.0,78417.0,91167.0,0.8136709999999999
14.0,435000.0,15000.0,450000.0,345000.0,164.0,123.0,87.0,64.0,60484.0,89933.0,79865.0,91167.0,0.758366
14.1,90000.0,644840.0,75600.0,435000.0,160.0,113.0,95.0,76.0,60484.0,91381.0,81313.0,92615.0,0.626605
14.2,195000.0,300680.0,538920.0,225000.0,161.0,126.0,91.0,83.0,60484.0,90913.0,78192.0,91367.0,0.844843
14.3,165000.0,540000.0,75000.0,465000.0,156.0,101.0,108.0,67.0,60484.0,90913.0,80569.0,91367.0,0.716708
14.4,90000.0,190600.0,615000.0,345000.0,151.0,146.0,82.0,54.0,60484.0,89296.0,80569.0,91367.0,0.710333
14.5,37560.0,798240.0,198800.0,217560.0,148.0,109.0,121.0,87.0,60484.0,91918.0,82017.0,91367.0,0.54032
14.6,0.0,300000.0,803320.0,147680.0,148.0,142.0,80.0,84.0,60484.0,93366.0,83465.0,91367.0,0.516753
14.7,0.0,493560.0,45000.0,705920.0,148.0,119.0,107.0,68.0,60484.0,93366.0,83465.0,92815.0,0.520442
14.8,0.0,420000.0,660000.0,165000.0,148.0,145.0,81.0,81.0,60484.0,94414.0,83465.0,92815.0,0.606213
14.9,0.0,510000.0,180000.0,570000.0,149.0,124.0,108.0,63.0,1448.0,94414.0,84913.0,92815.0,0.642857
15.0,15000.0,450000.0,495000.0,285000.0,149.0,151.0,83.0,83.0,1448.0,95483.0,84913.0,94263.0,0.732561
15.1,0.0,457920.0,360000.0,435000.0,149.0,129.0,110.0,67.0,1448.0,95483.0,86361.0,93216.0,0.742555
15.2,15000.0,525000.0,270000.0,435000.0,148.0,151.0,94.0,53.0,1448.0,96931.0,86361.0,93216.0,0.7203050000000001
15.3,0.0,299280.0,615000.0,337880.0,148.0,139.0,102.0,71.0,1448.0,96931.0,87809.0,94664.0,0.673549
15.4,0.0,735000.0,510000.0,0.0,150.0,153.0,78.0,95.0,2896.0,98379.0,87809.0,94664.0,0.484186
15.5,0.0,255000.0,345000.0,645000.0,150.0,142.0,96.0,73.0,2896.0,98379.0,89257.0,96112.0,0.645763
15.6,30000.0,525000.0,375000.0,315000.0,152.0,150.0,91.0,80.0,5792.0,99827.0,89257.0,96112.0,0.750436
15.7,60000.0,300000.0,390000.0,495000.0,156.0,159.0,106.0,66.0,11584.0,95568.0,90705.0,95233.0,0.7896610000000001
15.8,0.0,570000.0,330000.0,360000.0,156.0,131.0,104.0,65.0,11584.0,99501.0,90705.0,95233.0,0.704473
