Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
45,255000,992960,27,126,34828,133216,0.740919
45.1,255000,998080,26,124,34828,133216,0.739835
45.2,240000,1.0046e+06,27,125,34828,133216,0.726002
45.3,240000,1.0032e+06,28,125,34828,133216,0.726284
45.4,255000,991560,29,126,37724,133216,0.741217
45.5,255000,992960,26,126,34828,133216,0.740919
45.6,225000,1.02984e+06,29,124,34828,133216,0.708527
45.7,270000,977960,26,125,34670,133216,0.756531
45.8,225000,1.0196e+06,28,123,34670,133216,0.710428
45.9,255000,998080,29,125,37566,133216,0.739835
46,270000,975160,24,126,34670,133216,0.757163
46.1,195000,1.04764e+06,27,125,34236,133216,0.6799
46.2,255000,992960,27,125,34236,133216,0.740919
46.3,240000,1.01344e+06,27,125,34236,133216,0.724241
46.4,240000,1.00796e+06,25,124,5792,133216,0.72533
46.5,240000,1.0046e+06,10,123,5792,133216,0.726002
46.6,45000,1.202e+06,9,123,5792,133216,0.537385
46.7,30000,1.2184e+06,11,121,5792,133216,0.524608
46.8,30000,1.217e+06,23,120,68502,133216,0.524636
46.9,210000,1.03636e+06,27,125,68502,133216,0.69464
47,240000,1.01308e+06,30,126,70411,133216,0.724312
47.1,270000,977960,34,125,70411,133216,0.756531
47.2,300000,938640,29,127,74533,133216,0.789989
47.3,255000,1.0032e+06,33,125,81632,133216,0.73876
47.4,300000,944800,34,125,81632,133216,0.788445
47.5,315000,928400,35,125,81632,133216,0.804266
47.6,315000,933520,36,127,82303,133216,0.80294
47.7,330000,921880,35,128,82303,133216,0.817305
47.8,315000,934920,36,125,85010,133216,0.802579
47.9,330000,912000,37,127,86137,133216,0.819951
48,345000,906880,42,127,89033,133216,0.832329
48.1,360000,883960,40,128,88281,133216,0.84932
48.2,360000,886760,37,125,98729,133216,0.84853
48.3,330000,928400,36,129,47784,133216,0.815579
48.4,330000,912000,37,127,55099,133216,0.819951
48.5,315000,928400,43,125,86955,133216,0.804266
48.6,375000,880240,44,127,98729,133216,0.860578
48.7,390000,847440,45,129,98729,133216,0.879776
48.8,390000,867200,45,100,98729,115225,0.874068
48.9,435000,805800,44,29,62264,92672,0.918017
49,585000,662800,37,75,54783,95568,0.996128
49.1,450000,810000,29,81,53965,98464,0.924528
49.2,330000,915000,39,83,63675,99912,0.819144
49.3,420000,825000,45,86,63675,102808,0.904306
49.4,465000,780000,45,87,63675,104256,0.939836
49.5,465000,780000,48,91,66571,107152,0.939836
49.6,480000,780000,42,92,63675,108600,0.946352
49.7,405000,840000,45,92,63675,111496,0.891203
49.8,450000,795000,47,92,63675,112944,0.928687
49.9,450000,795000,46,94,63675,114392,0.928687
50,435000,825000,46,96,66571,115840,0.912571
50.1,435000,810000,45,95,63675,117288,0.916822
50.2,405000,840000,46,96,63675,118736,0.891203
50.3,420000,825000,47,96,63675,120184,0.904306
50.4,435000,810000,46,99,63675,121632,0.916822
50.5,405000,855000,46,99,63675,123080,0.886878
50.6,435000,810000,44,100,59332,124528,0.916822
50.7,390000,855000,42,101,59332,124528,0.87758
50.8,375000,870000,44,102,59332,125976,0.8635
50.9,405000,855000,45,100,59332,127424,0.886878
51,375000,870000,43,102,59332,127424,0.8635
