Time,Cubic_1_Bps,Cubic_2_Bps,Cubic_1_PktLoss,Cubic_2_PktLoss,Cubic_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
27.9,825000,420000,112,75,97016,105704,0.904306
28,705000,540000,116,63,98464,105704,0.982739
28.1,810000,450000,113,67,99912,105704,0.924528
28.2,705000,540000,119,63,101360,105704,0.982739
28.3,780000,465000,118,64,102808,105704,0.939836
28.4,780000,465000,121,65,104256,105704,0.939836
28.5,765000,480000,120,65,104256,105704,0.950207
28.6,810000,450000,119,67,105704,105704,0.924528
28.7,765000,480000,119,65,107152,105704,0.950207
28.8,765000,480000,122,65,107152,105704,0.950207
28.9,765000,480000,122,63,108600,105704,0.950207
29,810000,450000,122,65,108600,105704,0.924528
29.1,765000,480000,123,65,108600,105704,0.950207
29.2,795000,450000,123,67,110048,105704,0.928687
29.3,780000,465000,123,66,110048,105704,0.939836
29.4,780000,465000,125,65,110048,105704,0.939836
29.5,810000,450000,124,68,111496,107152,0.924528
29.6,750000,495000,124,65,111496,107152,0.959738
29.7,795000,450000,125,67,111496,107152,0.928687
29.8,795000,450000,124,68,111496,108600,0.928687
29.9,780000,480000,124,68,111496,108600,0.946352
30,765000,480000,123,66,111496,108600,0.950207
30.1,780000,465000,125,68,111496,110048,0.939836
30.2,750000,495000,125,67,111496,110048,0.959738
30.3,780000,465000,125,69,111496,111496,0.939836
30.4,780000,480000,125,70,111496,112944,0.946352
30.5,765000,480000,124,72,111496,112944,0.950207
30.6,750000,495000,124,70,111496,114392,0.959738
30.7,750000,495000,126,72,111496,115840,0.959738
30.8,765000,495000,125,72,111496,117288,0.956098
30.9,750000,495000,125,74,111496,118736,0.959738
31,750000,495000,125,74,111496,120184,0.959738
31.1,735000,510000,124,73,111496,121632,0.968372
31.2,750000,495000,126,77,111496,123080,0.959738
31.3,735000,525000,125,75,111496,124528,0.972973
31.4,720000,525000,125,78,111496,127424,0.976056
31.5,720000,525000,127,78,111496,128872,0.976056
31.6,735000,510000,126,79,111496,130320,0.968372
31.7,735000,525000,124,94,112944,133216,0.972973
31.8,675000,560120,127,100,112944,133216,0.991423
31.9,720000,529920,127,101,112944,133216,0.977396
32,690000,564480,127,99,112944,133216,0.990088
32.1,750000,501880,126,102,114392,133216,0.962202
32.2,705000,540680,127,58,114392,92672,0.982897
32.3,780000,468520,123,18,114392,92672,0.941407
32.4,1.245e+06,6520,119,75,115840,92672,0.505237
32.5,930000,306520,140,61,117288,92672,0.797296
32.6,705000,543720,121,70,117288,95568,0.983592
32.7,960000,300000,131,63,117288,97016,0.784698
32.8,630000,615000,131,56,117288,99912,0.999855
32.9,990000,255000,126,74,118736,101360,0.74155
33,735000,510000,129,66,118736,104256,0.968372
33.1,870000,375000,126,77,120184,107152,0.8635
33.2,750000,510000,130,66,120184,108600,0.964989
33.3,765000,480000,131,69,120184,110048,0.950207
33.4,810000,435000,134,72,121632,112944,0.916822
33.5,810000,435000,130,78,121632,114392,0.916822
33.6,765000,495000,132,74,123080,115840,0.956098
33.7,765000,480000,136,73,124528,117288,0.950207
33.8,795000,450000,136,78,125976,118736,0.928687
33.9,765000,480000,136,77,127424,120184,0.950207
34,780000,465000,135,79,128872,121632,0.939836
34.1,780000,480000,138,80,130320,123080,0.946352
34.2,765000,480000,156,81,133216,124528,0.950207
34.3,755680,495000,167,80,133216,124528,0.958365
34.4,810480,435000,123,80,92672,124273,0.916686
34.5,529280,720000,98,41,92672,86880,0.977225
34.6,1.02024e+06,217320,118,70,97016,86880,0.703763
34.7,1.065e+06,197400,130,74,98464,86880,0.679196
34.8,855000,388680,119,83,101360,88328,0.87674
34.9,810000,435000,129,77,104256,89776,0.916822
35,750000,495000,123,65,107152,91224,0.959738
35.1,870000,390000,130,66,108600,92672,0.873267
35.2,705000,540000,141,63,111496,94120,0.982739
35.3,915000,330000,137,72,112944,95568,0.819144
35.4,870000,375000,136,75,114392,95568,0.8635
35.5,810000,435000,139,77,115840,97016,0.916822
35.6,825000,435000,135,75,117288,98464,0.912571
35.7,780000,465000,139,71,120184,99912,0.939836
35.8,855000,390000,141,77,121632,99912,0.87758
35.9,810000,435000,141,77,121632,101360,0.916822
36,840000,420000,140,77,123080,101360,0.9
36.1,840000,405000,139,77,124528,102808,0.891203
36.2,780000,465000,146,76,125976,102808,0.939836
36.3,825000,420000,146,77,127424,104256,0.904306
36.4,825000,420000,145,77,127424,104256,0.904306
36.5,840000,420000,144,79,128872,104256,0.9
36.6,810000,435000,146,81,128872,105704,0.916822
36.7,825000,420000,146,79,130320,105704,0.904306
36.8,810000,435000,146,80,130320,105704,0.916822
36.9,825000,435000,147,77,130320,105704,0.912571
37,810000,435000,162,78,131768,105704,0.916822
37.1,817680,420000,174,78,131768,105704,0.906421
37.2,802320,450000,149,78,110434,105704,0.926656
37.3,758520,495000,85,73,91224,105704,0.957676
37.4,605240,645000,129,80,94120,105704,0.99899
37.5,819280,420000,135,74,95568,105704,0.905958
37.6,615000,630000,137,68,97016,105704,0.999855
37.7,855000,405000,137,73,98464,105704,0.886878
37.8,735000,510000,139,75,99912,105704,0.968372
37.9,810000,435000,138,80,101360,105704,0.916822
38,765000,480000,138,78,102808,105704,0.950207
38.1,765000,495000,139,77,102808,105704,0.956098
38.2,765000,480000,139,75,104256,105704,0.950207
38.3,765000,480000,141,75,105704,105704,0.950207
38.4,780000,465000,141,76,105704,105704,0.939836
38.5,765000,480000,145,76,107152,105704,0.950207
38.6,795000,465000,144,77,107152,105704,0.935809
38.7,780000,465000,143,76,108600,105704,0.939836
38.8,795000,450000,142,78,108600,105704,0.928687
38.9,765000,480000,144,76,110048,105704,0.950207
39,780000,480000,144,76,110048,105704,0.946352
39.1,795000,450000,145,76,110048,105704,0.928687
39.2,795000,450000,144,79,110048,107152,0.928687
39.3,765000,480000,146,77,111496,107152,0.950207
39.4,780000,465000,146,78,111496,107152,0.939836
39.5,810000,450000,144,78,111496,107152,0.924528
39.6,765000,480000,145,79,111496,108600,0.950207
39.7,780000,465000,145,80,111496,108600,0.939836
39.8,765000,480000,146,79,111496,110048,0.950207
39.9,780000,480000,146,79,111496,110048,0.946352
40,780000,465000,144,81,111496,111496,0.939836
40.1,765000,480000,145,81,111496,111496,0.950207
40.2,750000,495000,145,81,111496,112944,0.959738
40.3,765000,480000,146,82,111496,114392,0.950207
40.4,780000,480000,146,83,111496,115840,0.946352
40.5,750000,495000,146,84,111496,115840,0.959738
40.6,735000,510000,145,81,111496,117288,0.968372
40.7,750000,495000,147,83,111496,118736,0.959738
40.8,765000,495000,146,85,111496,120184,0.956098
40.9,720000,525000,146,85,111496,121632,0.976056
41,750000,495000,146,88,111496,124528,0.959738
41.1,720000,525000,146,88,111496,125976,0.976056
41.2,720000,525000,148,88,111496,127424,0.976056
41.3,735000,525000,147,91,111496,130320,0.972973
41.4,735000,510000,144,96,111496,131768,0.968372
41.5,690000,555000,147,107,112944,133216,0.988379
41.6,720000,532320,147,113,112944,133216,0.978034
41.7,705000,547200,148,112,112944,133216,0.984368
41.8,720000,521440,147,114,114392,133216,0.975056
41.9,705000,547200,148,112,114392,133216,0.984368
42,720000,517760,148,116,114392,133216,0.973997
42.1,705000,552320,150,82,115840,115146,0.985468
42.2,720000,520560,150,36,115840,92672,0.974805
42.3,1.17e+06,82720,140,42,115840,92672,0.570349
42.4,1.245e+06,0,142,93,117288,92672,0.5
42.5,300000,947600,162,42,117288,94120,0.787749
42.6,1.2e+06,60000,145,92,118736,97016,0.549875
42.7,720000,525000,153,70,118736,98464,0.976056
42.8,810000,435000,143,81,118736,101360,0.916822
42.9,825000,420000,155,72,120184,102808,0.904306
43,750000,495000,155,77,120184,105704,0.959738
43.1,900000,360000,151,86,120184,107152,0.844828
43.2,750000,495000,150,81,121632,110048,0.959738
43.3,840000,405000,146,87,121632,111496,0.891203
43.4,735000,510000,156,82,123080,112944,0.968372
43.5,795000,465000,154,87,124528,115840,0.935809
43.6,795000,450000,154,90,125976,117288,0.928687
43.7,750000,495000,158,86,128872,118736,0.959738
43.8,810000,435000,157,88,130320,120184,0.916822
43.9,780000,465000,164,90,131768,121632,0.939836
44,765000,495000,185,90,133216,123080,0.956098
44.1,814840,435000,170,93,137931,123080,0.915448
44.2,771120,465000,117,82,92672,98760,0.942215
44.3,581320,678480,147,38,95568,86880,0.994087
44.4,1.20864e+06,30000,141,84,98464,86880,0.524806
44.5,810000,436480,142,68,99912,86880,0.917603
44.6,795000,453480,155,72,102808,88328,0.930381
44.7,825000,435000,156,68,105704,89776,0.912571
44.8,885000,360000,152,75,107152,91224,0.849026
44.9,840000,405000,160,81,110048,92672,0.891203
45,840000,405000,159,83,111496,94120,0.891203
45.1,855000,390000,160,86,114392,95568,0.87758
45.2,825000,435000,158,84,115840,97016,0.912571
45.3,810000,435000,157,82,117288,98464,0.916822
45.4,795000,450000,163,80,118736,98464,0.928687
45.5,855000,390000,163,85,120184,99912,0.87758
45.6,795000,465000,165,87,121632,101360,0.935809
45.7,855000,390000,163,85,123080,101360,0.87758
45.8,810000,435000,162,87,124528,102808,0.916822
45.9,795000,450000,167,85,124528,102808,0.928687
46,825000,420000,167,87,125976,102808,0.904306
46.1,855000,405000,167,89,127424,104256,0.886878
